sample_height,host,balance_gas
109,c1,99.804
109,c2,99.804
109,c3,99.8038
109,c4,99.804
109,c5,99.8042
109,m1,4.3387
109,m2,21.7644
109,m3,40.0977
109,ca,49.3564
120,c1,99.607
120,c2,99.663
120,c3,99.7184
120,c4,99.719
120,c5,99.7188
120,m1,105.1363
120,m2,21.6884
120,m3,40.0217
120,ca,49.3564
130,c1,99.3842
130,c2,99.496
130,c3,99.6068
130,c4,99.6074
130,c5,99.663
130,m1,7.0356
130,m2,9.7544
130,m3,32.8028
130,ca,49.3564
139,c1,99.1606
139,c2,99.3844
139,c3,99.4954
139,c4,99.5518
139,c5,99.6074
139,m1,7.1304
139,m2,44.9808
139,m3,27.1336
139,ca,49.3564
147,c1,98.9366
147,c2,99.2166
147,c3,99.3838
147,c4,99.4402
147,c5,99.5516
147,m1,7.2189
147,m2,19.5428
147,m3,22.0619
147,ca,49.3564
156,c1,98.7126
156,c2,99.1046
156,c3,99.272
156,c4,99.3844
156,c5,99.44
156,m1,107.7357
156,m2,119.8632
156,m3,21.9861
156,ca,49.3564
164,c1,98.5446
164,c2,98.9366
164,c3,99.1602
164,c4,99.2726
164,c5,99.3842
164,m1,8.0058
164,m2,49.0954
164,m3,17.8679
164,ca,49.3564
173,c1,98.321
173,c2,98.8246
173,c3,99.0482
173,c4,99.2166
173,c5,99.3286
173,m1,6.9348
173,m2,21.2824
173,m3,94.5437
173,ca,49.3564
180,c1,98.0974
180,c2,98.657
180,c3,98.9362
180,c4,99.1048
180,c5,99.2726
180,m1,7.2015
180,m2,9.7706
180,m3,75.99
180,ca,49.3564
190,c1,97.8736
190,c2,98.5452
190,c3,98.8244
190,c4,99.0488
190,c5,99.2168
190,m1,108.4697
190,m2,109.665
190,m3,75.99
190,ca,49.3564
197,c1,97.6498
197,c2,98.3772
197,c3,98.7126
197,c4,98.9368
197,c5,99.1048
197,m1,7.5483
197,m2,45.0208
197,m3,61.147
197,ca,49.3564
205,c1,97.4818
205,c2,98.2652
205,c3,98.6566
205,c4,98.8808
205,c5,99.0488
205,m1,108.5033
205,m2,45.0208
205,m3,61.071
205,ca,49.3564
214,c1,97.2582
214,c2,98.0978
214,c3,98.545
214,c4,98.7692
214,c5,98.993
214,m1,7.81
214,m2,19.5441
214,m3,49.1062
214,ca,49.3564
222,c1,97.0342
222,c2,97.9858
222,c3,98.433
222,c4,98.7132
222,c5,98.937
222,m1,7.53
222,m2,48.9902
222,m3,39.5638
222,ca,49.3564
231,c1,96.8106
231,c2,97.8178
231,c3,98.321
231,c4,98.6014
231,c5,98.8252
231,m1,7.6314
231,m2,20.7509
231,m3,32.0058
231,ca,49.3564
241,c1,96.5868
241,c2,97.65
241,c3,98.209
241,c4,98.5454
241,c5,98.7692
241,m1,108.3054
241,m2,20.6455
241,m3,32.0978
241,ca,49.3564
249,c1,96.4188
249,c2,97.5382
249,c3,98.097
249,c4,98.4334
249,c5,98.7134
249,m1,7.0669
249,m2,10.4988
249,m3,25.9574
249,ca,49.3564
258,c1,96.195
258,c2,97.3704
258,c3,97.985
258,c4,98.3774
258,c5,98.6574
258,m1,7.2474
258,m2,45.5849
258,m3,21.0149
258,ca,49.3564
268,c1,95.9712
268,c2,97.2586
268,c3,97.8732
268,c4,98.2654
268,c5,98.6016
268,m1,7.5639
268,m2,19.3888
268,m3,17.1669
268,ca,49.3564
277,c1,95.7474
277,c2,97.0906
277,c3,97.7612
277,c4,98.2096
277,c5,98.49
277,m1,108.2585
277,m2,119.3888
277,m3,117.1669
277,ca,49.3564
286,c1,95.5238
286,c2,96.9786
286,c3,97.6494
286,c4,98.0978
286,c5,98.434
286,m1,8.2003
286,m2,48.8047
286,m3,94.1243
286,ca,49.3564
294,c1,95.3562
294,c2,96.811
294,c3,97.5934
294,c4,98.042
294,c5,98.378
294,m1,7.3618
294,m2,20.6009
294,m3,76.1704
294,ca,49.3564
304,c1,95.1322
304,c2,96.699
304,c3,97.4814
304,c4,97.9302
304,c5,98.322
304,m1,7.8405
304,m2,9.2476
304,m3,61.2025
304,ca,49.3564
312,c1,94.9086
