run_id,livello,tbt,blocchi_totali,setup_blocks,blocchi_misurati,dt_medio_s,dt_mediana_s,dt_sd_s,dt_min_s,dt_max_s,target_s,scarto_s,scarto_pct
run1-tbt-15s/continentale,continentale,15,169,60,109,15.769,16.0,4.471,7,23,15,0.769,5.12
run1-tbt-15s/intercontinentale,intercontinentale,15,172,60,112,15.441,16,3.977,8,23,15,0.441,2.94
run1-tbt-15s/nazionale,nazionale,15,173,60,113,15.25,14.0,4.611,8,23,15,0.25,1.67
run1-tbt-15s/regionale,regionale,15,167,60,107,15.896,16.0,4.522,7,24,15,0.896,5.97
run2-tbt-10s/continentale,continentale,10,324,64,260,10.811,11,2.959,5,16,10,0.811,8.11
run2-tbt-10s/intercontinentale,intercontinentale,10,327,64,263,10.702,11.0,2.882,5,16,10,0.702,7.02
run2-tbt-10s/nazionale,nazionale,10,329,64,265,10.648,11.0,2.737,5,16,10,0.648,6.48
run2-tbt-10s/regionale,regionale,10,325,64,261,10.781,11.0,2.844,5,16,10,0.781,7.81
run3-tbt-5s/continentale,continentale,5,420,98,322,5.639,6,1.462,3,8,5,0.639,12.77
run3-tbt-5s/intercontinentale,intercontinentale,5,421,98,323,5.609,6.0,1.529,3,8,5,0.609,12.17
run3-tbt-5s/nazionale,nazionale,5,415,98,317,5.699,6.0,1.491,3,8,5,0.699,13.99
run3-tbt-5s/regionale,regionale,5,416,98,318,5.694,6,1.55,3,8,5,0.694,13.88
run4-tbt-3s/continentale,continentale,3,537,144,393,3.574,4.0,0.95,1,6,3,0.574,19.13
run4-tbt-3s/intercontinentale,intercontinentale,3,535,144,391,3.585,4.0,0.998,2,6,3,0.585,19.49
run4-tbt-3s/nazionale,nazionale,3,529,144,385,3.638,4.0,0.988,2,6,3,0.638,21.27
run4-tbt-3s/regionale,regionale,3,531,144,387,3.627,4.0,0.958,2,6,3,0.627,20.9
run5-tbt-2s/continentale,continentale,2,651,200,451,2.647,3.0,0.807,1,4,2,0.647,32.33
run5-tbt-2s/intercontinentale,intercontinentale,2,655,200,455,2.626,3.0,0.78,1,4,2,0.626,31.28
run5-tbt-2s/nazionale,nazionale,2,659,200,459,2.598,3.0,0.796,1,4,2,0.598,29.91
run5-tbt-2s/regionale,regionale,2,658,200,458,2.604,3,0.825,1,4,2,0.604,30.2
