run_id,run_dir,run_index,livello,tbt_dirname,params_da_host,params_trovato,chain_name,target_block_time,setup_first_blocks,mining_diversity,mining_turnover,weight_epoch_length,weight_kappa,weight_alpha,weight_lambda,wpoa_sortition_delta,wpoa_sortition_lambda,wpoa_randao_lookback,dump_function,enable_wpoa,enable_wpoa_selection,enable_wpoa_sortition,enable_wpoa_malus,enable_weight_engine,minimum_relay_fee,first_block_reward,weight_treasury_address,wpoa_malus_mu,wpoa_malus_max,wpoa_malus_equiv_points,wpoa_malus_delay_points,wpoa_malus_selfwrite_points,wpoa_malus_badweight_points,native_currency_multiple,initial_block_reward,setupblocks_getinfo,chainname_getinfo,protocolversion,tbt,tbt_params,tbt_mismatch,setup_blocks,setup_mismatch,epoch_len,mining_diversity_val,delta,lambda_sortition,rtt_max_ms,fonte_conversione_gas,malus_events_found,righe_peso_riconciliazione,scarti_ricalcolo_peso,righe_account_ledger,premi_mining_ricostruiti,errori_H,errori_P,errori_I,stato,note,blocchi_misurati,fork_verdetto,path
run1-tbt-15s/continentale,run1-tbt-15s,1,continentale,15,admin,True,poesiacontinentale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,60,poesiacontinentale,20014,15,15,0,60,0,12,0.0,0.5,0.2,44.7,params.dat di admin (native-currency-multiple),0,45,0,700,1,0,0,4,completa,,109,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/continentale
run1-tbt-15s/intercontinentale,run1-tbt-15s,1,intercontinentale,15,admin,True,poesiaintercontinentale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,60,poesiaintercontinentale,20014,15,15,0,60,0,12,0.0,0.5,0.2,112.0,params.dat di admin (native-currency-multiple),0,45,0,699,1,0,0,4,completa,,112,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/intercontinentale
run1-tbt-15s/nazionale,run1-tbt-15s,1,nazionale,15,admin,True,poesianazionale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,60,poesianazionale,20014,15,15,0,60,0,12,0.0,0.5,0.2,22.0,params.dat di admin (native-currency-multiple),0,45,0,713,1,0,0,4,completa,,113,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/nazionale
run1-tbt-15s/regionale,run1-tbt-15s,1,regionale,15,admin,True,poesiaregionale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,60,poesiaregionale,20014,15,15,0,60,0,12,0.0,0.5,0.2,10.0,params.dat di admin (native-currency-multiple),0,42,0,709,1,0,0,4,completa,,107,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/regionale
run2-tbt-10s/continentale,run2-tbt-10s,2,continentale,10,admin,True,poesiacontinentale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,64,poesiacontinentale,20014,10,10,0,64,0,12,0.0,0.5,0.2,44.7,params.dat di admin (native-currency-multiple),0,84,0,1017,1,0,0,4,completa,,260,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/continentale
run2-tbt-10s/intercontinentale,run2-tbt-10s,2,intercontinentale,10,admin,True,poesiaintercontinentale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,64,poesiaintercontinentale,20014,10,10,0,64,0,12,0.0,0.5,0.2,112.0,params.dat di admin (native-currency-multiple),0,84,0,1004,1,0,0,4,completa,,263,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/intercontinentale
run2-tbt-10s/nazionale,run2-tbt-10s,2,nazionale,10,admin,True,poesianazionale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,64,poesianazionale,20014,10,10,0,64,0,12,0.0,0.5,0.2,22.0,params.dat di admin (native-currency-multiple),0,84,0,1031,1,0,0,4,completa,,265,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/nazionale
run2-tbt-10s/regionale,run2-tbt-10s,2,regionale,10,admin,True,poesiaregionale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,64,poesiaregionale,20014,10,10,0,64,0,12,0.0,0.5,0.2,10.0,params.dat di admin (native-currency-multiple),0,84,0,1015,1,0,0,4,completa,,261,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/regionale
run3-tbt-5s/continentale,run3-tbt-5s,3,continentale,5,admin,True,poesiacontinentale,5,98,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,98,poesiacontinentale,20014,5,5,0,98,0,12,0.0,0.5,0.2,44.7,params.dat di admin (native-currency-multiple),0,108,0,810,1,0,0,4,completa,,322,ritardo di propagazione,/home/mattu/multichain/shadow/esperimenti/run3-tbt-5s/continentale
run3-tbt-5s/intercontinentale,run3-tbt-5s,3,intercontinentale,5,admin,True,poesiaintercontinentale,5,98,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,0.5,4,4,0.25,[null],[null],100000000.0,0,98,poesiaintercontinentale,20014,5,5,0,98,0,12,0.0,0.5,0.2,112.0,params.dat di admin (native-currency-multiple),0,108,0,807,1,0,0,4,completa,,323,nessun fork,/home/mattu/multichain/shadow/esperimenti/run3-tbt-5s/intercontinentale
